ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,2ms
測定点数,453         
トリガ点,1                    
開始時刻,2015-10-05,14:24:04
終了時刻,2015-10-05,14:24:04
トリガ時刻,2015-10-05,14:24:04
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
1,2015/10/05,14:24:04,000000,+25.6,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
2,2015/10/05,14:24:04,002000,+25.3,+102.2,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
3,2015/10/05,14:24:04,004000,+25.9,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
4,2015/10/05,14:24:04,006000,+25.6,+102.4,+60.01,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
5,2015/10/05,14:24:04,008000,+25.2,+102.4,+60.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
6,2015/10/05,14:24:04,010000,+25.6,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
7,2015/10/05,14:24:04,012000,+24.9,+102.2,+60.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
8,2015/10/05,14:24:04,014000,+25.2,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
9,2015/10/05,14:24:04,016000,+24.9,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
10,2015/10/05,14:24:04,018000,+25.7,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
11,2015/10/05,14:24:04,020000,+25.7,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
12,2015/10/05,14:24:04,022000,+25.7,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
13,2015/10/05,14:24:04,024000,+25.3,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
14,2015/10/05,14:24:04,026000,+25.8,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
15,2015/10/05,14:24:04,028000,+25.3,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
