ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,2ms
測定点数,5000        
トリガ点,1                    
開始時刻,2015-10-05,14:24:11
終了時刻,2015-10-05,14:24:21
トリガ時刻,2015-10-05,14:24:11
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
1,2015/10/05,14:24:11,000000,+25.6,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
2,2015/10/05,14:24:11,002000,+24.9,+102.3,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
3,2015/10/05,14:24:11,004000,+25.6,+102.3,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
4,2015/10/05,14:24:11,006000,+24.7,+102.3,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
5,2015/10/05,14:24:11,008000,+25.4,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
6,2015/10/05,14:24:11,010000,+25.1,+102.4,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
7,2015/10/05,14:24:11,012000,+25.5,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
8,2015/10/05,14:24:11,014000,+25.6,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
9,2015/10/05,14:24:11,016000,+25.7,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
10,2015/10/05,14:24:11,018000,+25.3,+102.1,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
11,2015/10/05,14:24:11,020000,+25.4,+102.3,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
12,2015/10/05,14:24:11,022000,+25.1,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
13,2015/10/05,14:24:11,024000,+25.4,+102.2,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
14,2015/10/05,14:24:11,026000,+25.2,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
15,2015/10/05,14:24:11,028000,+25.4,+102.1,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
16,2015/10/05,14:24:11,030000,+25.3,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
17,2015/10/05,14:24:11,032000,+25.7,+102.3,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
18,2015/10/05,14:24:11,034000,+25.7,+102.3,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
19,2015/10/05,14:24:11,036000,+25.3,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
20,2015/10/05,14:24:11,038000,+25.7,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
21,2015/10/05,14:24:11,040000,+25.2,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
22,2015/10/05,14:24:11,042000,+25.1,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
23,2015/10/05,14:24:11,044000,+25.3,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
24,2015/10/05,14:24:11,046000,+25.4,+102.3,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
25,2015/10/05,14:24:11,048000,+25.5,+102.3,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
26,2015/10/05,14:24:11,050000,+25.4,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
27,2015/10/05,14:24:11,052000,+25.6,+102.2,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
28,2015/10/05,14:24:11,054000,+25.7,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
29,2015/10/05,14:24:11,056000,+25.7,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
30,2015/10/05,14:24:11,058000,+25.6,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
31,2015/10/05,14:24:11,060000,+25.4,+102.3,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
32,2015/10/05,14:24:11,062000,+25.1,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
33,2015/10/05,14:24:11,064000,+25.3,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
