学籍番号	 数学	 国語	 英語	平均点
  10	  26	  42	  37	 35.0
   6	  54	  28	  37	 39.7
  37	  21	  56	  47	 41.3
   5	  52	  23	  53	 42.7
  49	  64	  20	  48	 44.0
  30	  58	  36	  42	 45.3
   1	  36	  60	  44	 46.7
  36	  59	  30	  52	 47.0
  43	  69	  40	  33	 47.3
  27	  60	  38	  47	 48.3
  47	  42	  82	  24	 49.3
  14	  56	  31	  63	 50.0
  22	  62	  32	  62	 52.0
  21	  85	  23	  50	 52.7
  18	  82	  57	  20	 53.0
  15	  59	  50	  53	 54.0
  42	  33	  92	  37	 54.0
  34	  45	  29	  91	 55.0
  26	  23	  84	  61	 56.0
  25	  56	  32	  84	 57.3
  29	  38	  48	  89	 58.3
   7	  64	  92	  21	 59.0
  48	  46	  34	  98	 59.3
